"features","levels","decision","supportLHS","supportRHS","accuracyRHS","coverageLHS","coverageRHS","stabilityLHS","stabilityRHS","supportRatioLHS","supportRatioRHS","pValue","riskRatio","pValueRiskRatio","confIntRiskRatio"
"WASF3,PRPF40A","high,high","Sensitive",20,20,1,0.17544,0.34483,1,1,0.3125,0.3125,4.68337760568766e-05,Inf,0.000354901891165937,"-Inf:Inf"
"SSBP1,PRPF40A","low,low","Resistant",19,19,1,0.16667,0.30159,1,1,0.30159,0.30159,7.90319970959795e-05,Inf,0.000501587244366331,"-Inf:Inf"
"KIF21B,SERINC3","low,high","Resistant",17,17,1,0.14912,0.30909,1,1,0.26984,0.26984,0.000457774707816808,Inf,0.00209198828462376,"-Inf:Inf"
"ZNF207,GLB1L","low,high","Resistant",17,17,1,0.14912,0.26984,1,1,0.26984,0.26984,0.000457774707816808,Inf,0.00209198828462376,"-Inf:Inf"
"WASF3,TUFT1","high,low","Sensitive",17,17,1,0.14912,0.28333,1,1,0.26562,0.26562,0.000623352793622889,Inf,0.00288414654576874,"-Inf:Inf"
"TUFT1,GSK3A","low,high","Sensitive",17,17,1,0.14912,0.28333,1,1,0.26562,0.26562,0.000623352793622889,Inf,0.00288414654576874,"-Inf:Inf"
"TUFT1,ROPN1L","high,high","Resistant",16,16,1,0.14035,0.28571,1,1,0.25397,0.25397,0.0010811275014397,Inf,0.00420254858967128,"-Inf:Inf"
"SSBP1,EGFR","low,high","Resistant",16,16,1,0.14035,0.25397,1,1,0.25397,0.25397,0.0010811275014397,Inf,0.00420254858967128,"-Inf:Inf"
"EGFR,GLB1L","high,high","Resistant",16,16,1,0.14035,0.25397,1,1,0.25397,0.25397,0.0010811275014397,Inf,0.00420254858967128,"-Inf:Inf"
"STOML2,TANGO2","low,high","Resistant",16,16,1,0.14035,0.2963,1,1,0.25397,0.25397,0.0010811275014397,Inf,0.00420254858967128,"-Inf:Inf"
"EGFR,STOML2","high,low","Resistant",16,16,1,0.13675,0.27586,1,1,0.25397,0.25397,0.0010811275014397,Inf,0.00420254858967128,"-Inf:Inf"
"KIF21B,SH3GLB1","high,low","Sensitive",16,16,1,0.14035,0.27119,1,1,0.25,0.25,0.00144150333525293,Inf,0.00567509999268734,"-Inf:Inf"
"SERINC3,DDX6","low,high","Sensitive",16,16,1,0.14035,0.27119,1,1,0.25,0.25,0.00144150333525293,Inf,0.00567509999268734,"-Inf:Inf"
"EGFR,RPL41","high,low","Resistant",15,15,1,0.1309,0.26527,1,1,0.2381,0.2381,0.00252263083669263,Inf,0.00835572952629793,"-Inf:Inf"
"INTS6,SGCE","low,high","Resistant",15,15,1,0.12821,0.25862,1,1,0.2381,0.2381,0.00252263083669263,Inf,0.00835572952629793,"-Inf:Inf"
"SGCE,EGFR","high,high","Resistant",15,15,1,0.12821,0.25862,1,1,0.2381,0.2381,0.00252263083669263,Inf,0.00835572952629793,"-Inf:Inf"
"C16orf58,TGFB2","low,low","Sensitive",15,15,1,0.13357,0.25979,1,1,0.23438,0.23438,0.00329486476629241,Inf,0.0110561617678897,"-Inf:Inf"
"WASF3,ROPN1L","low,high","Resistant",14,14,0.96875,0.12719,0.2504,1,1,0.22222,0.22222,0.00581749560298506,Inf,0.0164512859347647,"-Inf:Inf"
"TUFT1,PRPF40A","low,high","Sensitive",18,17,0.94444,0.1579,0.30357,1,1,0.28125,0.26562,0.00669254226607848,16.734375,0.0140926139564777,"2.295:122.001"
