"","ZNF207","AQR","PIGV","PXMP4","INTS6","SSBP1","KIF21B","BPIFB1","SGCE","SERINC3","WASF3","LYSMD2","C16orf58","TUFT1","ROPN1L","EGFR","RAB28","LARP4","PPP1R32","GLB1L","PCOLCE2","STOML2","PCDH7","SPATA24","TRABD","SLFN11","TANGO2","H2AC20","PRPF40A","TTC30A","SPINK13","RPL41","AC116913.1","PCDHB16","CLDN18","TGFB2","MSH2","SH3GLB1","TRMU","GSK3A","DDX6","TRIM38","CNTN3"
"NCI-H513",1.35496640751563,1.16631639635023,0.113808199559829,0.164427585824146,0.782002097311267,1.45068858513534,0.235295571360242,-0.130387520387259,0.322771333854671,1.07251335661193,0.095725669390979,-0.0133813492344315,-0.770388722052123,0.871449052496056,0.419569760241325,-0.31738445310702,1.34437042725734,-0.0060083537395339,-0.15878504000117,-1.03964890642277,-1.05724373025459,0.510468738381855,-0.674709864540739,-0.241629037456118,1.0258690829126,0.73533436969436,0.711094153110785,-1.22500577096804,1.3952415839938,1.21440157249443,-0.544004299628086,-1.17893453458031,-0.395136623018293,-0.443242198741025,-0.263095593203278,-0.636528991349897,-1.63856704783146,0.969545167736824,0.654496036406892,1.37901160535981,0.89758318724289,1.02318300918835,-0.782904348471415
"COR-L32",-0.832215354992248,0.325888344401372,-1.47578648681193,1.02342366104316,2.3390141977697,-0.477297434780249,-0.87613965991453,-0.347786379558905,0.30611609661653,-0.44857432108485,0.553722652150613,0.854070871218371,0.235662543432997,-0.497314052212414,0.377483336352785,-0.887244677648383,0.889245604128822,0.561064434488387,-0.206769084636822,-0.0994520123305051,-1.17714964710454,-0.909779963480896,-0.434894452283933,-1.23332743574751,-1.60706793596787,1.37258352139372,-0.51314610972255,2.53921975696923,0.672448563807369,-0.896756705861374,-0.310364462608287,1.09722027932311,-0.775138480119269,0.936463172228148,5.75739409768431,-0.511875349825272,0.635082198808335,-0.351819205201711,-0.519821261282457,1.21507326008522,2.38216965308124,0.4091390715895,4.94223431907076
"CPC-N",1.06479388510752,0.534786651924311,0.298114929757693,1.38678372938246,-1.19513575056308,-0.351988063043013,-1.36239006617629,-0.544357955204327,0.166536039227743,-0.197537601149131,0.380328877578408,1.86690203097657,-0.749262651870483,-0.072736409637763,0.0782753536933119,-1.02007747843493,-0.293076512905939,-1.59966205469301,-0.490189316278207,0.00561553983379732,1.28439969475034,0.481057174420347,-0.96780423199379,1.75864444642983,0.740511210028315,-1.07628810375368,0.0091695338627458,-0.797940435238903,-0.595964205466203,2.28222530910937,-0.436913176259849,1.05470021144094,2.45922173452738,-0.339554256458052,-0.321309179791341,-0.473340528853153,0.0687341994171412,-1.39707221682436,2.57827539987679,0.210661156798145,-0.660233273010806,-1.31816583561057,2.57891609102841
"EMC-BAC-2",1.6042566765172,1.64126780332511,0.339761058331816,0.537813339703551,0.489758801996304,-0.0304852393701983,-0.585823532424436,0.0789163209483187,0.217226574226177,0.355432037599252,-1.20185607058002,0.794402514090577,-1.46167527172829,-0.0896119647118057,-0.659416583552703,-0.199242980769592,-0.731690847430321,-0.00569354205796471,0.405387795550811,-0.651070493770623,-0.0728126369519302,0.136808772839331,-0.257561457847103,-0.624957144188683,0.474664530820117,-0.763548477445341,-0.401757366618841,-1.14076988876927,0.26721002028574,-0.029931579103611,1.9738111572046,-1.45473308112012,-0.486474036902775,-0.102794624899526,-0.0941184223200595,-0.384904065995256,-1.21470246968715,0.0324182373948461,0.325916571287499,0.787520210657358,-0.517592895432838,0.122538873690579,-0.285205770060664
"IST-SL2",1.01934832529551,0.692543666129427,-0.348819978874843,-0.917623130576973,1.69198241661785,0.666158985900786,-0.953535841772739,-0.439772867341026,-1.0060036903205,-1.37277422943064,-0.0362774990469311,0.489041221319125,-1.17308786521041,0.176438255881486,-0.335861847714874,-0.788462636906399,0.620978321318154,0.15238731362246,-0.0702316160688461,-0.78986232234632,0.643210319058543,0.0262841288652648,-0.81245892302021,-1.47228308577788,0.245343300445496,1.42988653198413,-0.747136137080768,0.941544327013463,1.52208708341945,0.712040476407502,-0.191253118156602,0.0543798521088908,0.823138472263472,-0.998800792039002,-0.19018466425295,-0.625696462533153,0.967136433540465,-1.83411843574914,1.40508556310032,-1.30967213996575,0.773158660983117,-1.23765503724729,-0.628421277163647
"LC-1/sq",1.40832765921646,-0.82867125602246,0.498502524811964,0.955477547911469,-0.261503874840291,0.698088574545393,-0.865549376807351,-0.0751913389535333,-0.425520640969144,1.14772439357852,0.71362446638992,-1.51807887422079,1.73321432967677,1.96329958662976,-0.423255380907675,1.87578887019518,-0.779036808781712,0.997032667994374,-0.527631870116911,0.728581194135786,-0.824738348204987,1.57610085132366,-0.717688016072167,1.22207699795319,0.515879028146542,-1.00438464145383,0.367406038952055,0.283168110538817,-0.0826227491991033,0.444948438963488,-0.331870129298057,-0.149598851072389,1.24260137086073,-0.820262055548523,-0.341223118987163,-0.679190297269807,-0.166280448089854,-0.287752825419773,-0.916135760314565,-0.252017632685752,1.87421010725515,0.232744971161428,-0.239848469273714
"Lu-135",0.443552152787727,0.0160359257301228,-1.56441540399072,-2.13203509411418,-0.436361059621525,0.0570383678070935,-0.771980273198072,-0.231969522179393,-0.16040317001088,-1.56640217509327,0.619582049838176,0.449960223882889,-1.34930700804405,-0.593028833241235,-0.679740478499211,-0.696133745771921,-0.533938909414092,-0.489262665340903,-0.658024142739233,-0.637008878539697,1.01391337267021,0.766367295587636,1.19937486221177,-0.848991910318726,0.394581991067031,1.28845356807674,-0.450491057367408,0.199625471523592,1.67090204949668,-0.45501774411518,-0.143003647031114,2.67013906852074,-0.367256758487128,0.480018170356386,-0.3271756764335,-0.735580887458133,0.669254067335235,0.883824285304378,1.49720734441907,2.20977936799887,-0.540598690267547,-1.18906736713938,-0.384864428761886
"Lu-139",1.17639335699715,0.927139996410904,0.242309053467706,-0.336002820652936,-0.925441683794239,0.262414751240534,4.69956157507179,-0.253241657640851,0.258530031134951,-1.27070034829195,0.414531234850996,-0.157435247758201,-0.63450181625697,-1.04440430187102,-0.686655313122112,-0.894550083174422,0.483860704423771,1.33063266773143,-0.299051830354442,-1.02891825347782,-0.0422844613365824,0.890289215559678,0.145247613958508,-1.12284671466092,0.360329395612298,-1.13253489641155,-1.10633177252404,-0.00613172435374834,0.652531388647513,-0.719880929241672,-0.236032656648928,1.61598941529949,-0.169979939159253,-0.23597651825575,0.0061228934475663,0.0351097975196048,1.77322202284442,-2.44899186292691,1.26945810983916,0.977950800656116,0.176207771753282,-1.04117062811369,4.01770828008919
"Lu-165",0.687102692879574,-0.00131017560304862,-0.261072867881972,0.332665780960301,-1.38968211114033,-1.0024824540973,0.866882647704386,-0.490467400284921,1.09541516143355,0.132628931513934,0.503003297624148,1.86513126901173,-0.0665176505772418,0.347375614351913,-0.879298422011869,-1.13222790709982,1.93483045890567,-1.7033232301119,2.13693932359154,0.0952157976480311,-0.87341986299499,0.0919819157731447,-0.0564221612549716,0.333539664226514,-2.66131981647403,0.711140618762817,-0.673674297893763,-1.94401840545031,0.335029584507041,0.254039015222052,-0.328997585783869,-2.05368025877037,-0.00808374840588842,3.20081749994648,-0.294089940548959,-1.06948265788556,0.713779749905327,-0.62757565099989,-0.776232582886846,0.471462160771725,-0.423707151700695,-1.38648474947396,0.064129864887025
"MS-1 [Human lung carcinoma]",0.152857600923062,1.0083892673531,0.312517899948347,0.761940718441678,-0.762539835999209,0.0610994267919787,-0.890321153567112,-0.487732168786949,0.784556442688663,-0.682282338153974,1.67985730726951,2.08780300775172,-0.430939393507934,-0.705111438458727,-0.663331449329433,-0.773320516555963,-0.371140158841001,-1.34171393238444,-0.812737924350635,-0.780757191924817,2.11618229785963,0.540608250845043,-0.845098996262407,1.57757726518384,0.558718287007164,-1.16630835155762,0.181815280019537,-0.733177741310185,0.382454607888745,-0.256750428635722,-0.148552488224955,0.00373973544373344,0.942880350035881,-0.703575904258373,-0.230831554583082,-0.04139626064592,-0.142293501536424,-0.254416645633631,1.18469075074138,-2.20737612104888,-1.53444170818487,-1.28793904584337,-0.392435738164818
